Gender = female,Gender = male,Age,Live = c,Plan,People = friend,People = alone,Travel = car,Travel = train,Day,Cost,Time = anytime,Time = schoolholidays,Time = holiday,Busy,Strain,Photo,Region,Help,Stay = resort,Stay = hotel,Stay = homestay,Stay = dailyroom,Like = n,Like = c,Like = e,Like = s,Get = newexperience,Get = rest,Get = relationship,TouristAttraction
0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,nature
1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,4.0,5.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,sea
1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,4.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,sea
1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,5.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,recreation
0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,recreation
1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
0.0,1.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,sea
0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,sea
0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,2.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,sea
1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,farm
0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,4.0,4.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,recreation
0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,farm
0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,4.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
0.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,4.0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,history
1.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,5.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,5.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,history
1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,5.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,recreation
1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,2.0,4.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,5.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,3.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,recreation
0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0,4.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,sea
0.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,sea
0.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,sea
0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nature
1.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,history
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,farm
0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,5.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,nature
0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,nature
1.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,nature
0.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
1.0,0.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,nature
0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,5.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nature
1.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,sea
1.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,5.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,nature
1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,sea
1.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,history
1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,sea
1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nature
1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,farm
1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,history
1.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,nature
